문서 번호,제목,질문,위치 고유번호,조회수,질문 날짜
478149170,질문CJ 배송조회,서울강남대치세은에서 멈춰 있어요 저 토요일날 입고 가야해서 화요일에 발송돼서 계속 저기에 멈춰있어요 토요일 전까지 받을 수 있을까요 집은 수원이에요 운송장번호:599036479815,120115, 10,2024.11.21
478145572,질문뉴트로 2010...,뉴트로 2010 헌포인가요? 아님 지점마다 다른가용?,120115, 8,2024.11.21
478119468,질문강남 선릉역 성원타워 근처 싸고 좋은 주차장 있나요?,안녕하세요 매번 주차하기 귀찮아서 그런데 성원타워 주차장을 쓰기 싫어서 그런데 근처 싸거나 무료 주차장 있나요? 주차 공간이 컸으면 좋겠습니다.,120115, 19,2024.11.21
478119363,질문성원타워(선릉) 근처 무료 또는 싼 주차장 있나요 50,안녕하세요 선릉역 성원타워 근처에 싸거나 또는 무료 주차장 있나요? 성원타워 주차하기 힘들어서요 길가에 주차하면 딱인데 싸고 공간 넓으곳 알려주세요,120115, 16,2024.11.21
478115877,질문어제 압구정 상공에서 UFO를 본 것 같아요!,어제 4시 반경 압구정로데오 도산공원 근처에서 사진에서 보여지는 물체를 봤는데 드론인가요? 아님 UFO???!!! 아시는 분은 알려주세요!,120115, 23,2024.11.21
478109796,질문이 의자 파는곳 아시는분계세요?,강남보건소에서 봤어요. 아주 가볍고 편해요.,120115, 16,2024.11.19
478091663,질문대치동 독서실,밥 주는 관리형 독서실 추천 좀 해주세요. 여러개 알려주세요 러셀 시대 두각은 이미 알고 있습니다^^ 현 고2,120115, 10,2024.11.19
477933150,질문수험생 점빼는 곳,수험표 할인되고 점 잘빼는곳이 어디있을까요?? 서울도괜찮고 전라도 광주도 괜찮습니다!! 제발.. 점잘빼는곳 추천해주세요ㅠㅠ 수험생할인되는곳 저렴한곳으로요ㅠㅠ,120115, 20,2024.11.19
478089640,질문대치세정 자리 선착순인가요??,이번에 대치 세정 처음 가는데 자리는 어떻게 앉는건지 궁금합니다.. 선착순으로 앉는건가요 아니면 자리신청시스템이있는건가요???,120115, 10,2024.11.19
478072408,질문디스코팡팡 어디가 사람 제일 많나요?,팡을 좀 다니고 싶은데 사람 옶는데는 너무 부담스러워서 못가겠고 사람 주말 내내 적당하거나 점 많은 곳 ㅊㅊ 좀 인천 부천 서울 영등포 안으로,120115, 17,2024.11.19
