문서번호,제목,질문,위치,조회수,질문날짜,답변ID,답변,답변날짜
476725350,"질문고척돔 주변 숙소추천해주세요","이번에 찰리푸스 내한을 가게됐는데 지방에 살아서 막차가 9시입니다ㅜ 그래서 숙박을 해야할거같아요 학생이라 돈도 많이 없어서 콘서트 비용만 해도 40가까이 되는데 저렴한 숙박시설이나 머무를수 있는곳 좀 알려주세요ㅜㅜㅜ 그리고 숙소 예약은 언제부터 해야할까요?","서울특별시 구로구 고척동 ",6,2024-10-17,NULL,NULL,NULL
476725014,"질문만약에 강남역에서 거지복장입고 구걸하면어떻게되나요?","혹시 경찰서로 끌려가나요? 궁금해서 물어봐요 법에 걸리나요?","서울특별시 강남역 ",8,2024-10-17,NULL,NULL,NULL
476724692,"질문서울 신림동 편의점 홍어","신림동에 있는 편의점 중에서 홍어를 파는 편의점이 있을까요? 예전에 편의점 홍어를 먹어봤는데 나름 괜찮더라구요. 인터넷에서 구매해서 먹기에는 양도 많고 가격도 좀 부담이고 그래서... 아시는 분 좀 알려주세요 ㅠㅠ","서울특별시 관악구 신림동 ",8,2024-10-17,NULL,NULL,NULL
476724480,"질문여의도 한강공원 주변","밤 산책으로 여의도 한강공원 가려고 하는데 그전에 주변?에서 놀고 싶은데 추천할 만한 곳이 있나요? 노량진 홍대 이런 곳들처럼요. 많이 알려진 곳들이요.","서울특별시 ",10,2024-10-17,NULL,NULL,NULL
476724043,"질문경복궁 야간개장 입장 꼭 예약하고 가야하나요??","경복궁 야간개장 꼭 예약하고 가야하나요?? 만약 그러면 야간말고 해 떠있을때라도 가고싶은데 야간개장 아니면 그냥 현장에서 결제햐도 되나요??","서울특별시 ",16,2024-10-17,4767240432,"개장은 꼭 예약해야되고 못했다면 한복입고가야 무료입장 가능합니다.주간관람은 현장 매표소에서 구매하면 되고요. 참고로 주간도 한복입고가면 무료입니다.",2024-10-17
476724043,"질문경복궁 야간개장 입장 꼭 예약하고 가야하나요??","경복궁 야간개장 꼭 예약하고 가야하나요?? 만약 그러면 야간말고 해 떠있을때라도 가고싶은데 야간개장 아니면 그냥 현장에서 결제햐도 되나요??","서울특별시 ",16,2024-10-17,4767240431,"은 예약을 꼭 해야 되고  평상시는 현장 결제해도 됩니다.",2024-10-17
476722460,"질문특성화고에서 일반고로 전학","지금 서울에 있는 특성화고에 다니고 있고 2학년으로 넘어가기 전에 전학을 갈 수 있나요? 가고싶은 일반고는 경기도에 있습니다. 가족 모두 경기도에 살고 있구요. 아마 겨울방학 끝나고 개학날이 25년 3월 3일인것 같은데 그 날부터 다닐수있는 방법은 없나요? 찾아보니 특성화고에서 일반고로 전학갈수 있는 기간이 3월 7일부터라는데 개학하고 중간에 가기에 너무 애매해서요ㅜㅜ 제발 알려주세요","서울특별시 ",17,2024-10-17,NULL,NULL,NULL
476721969,"질문홍대 애슐리 주말에 사람 많나요...??","일요일에 애슐리 홍대점에 가려고 하는데요... 오후 3시 ~ 4시쯤 가도 사람이 많을까요??? 그리고 제가 혼밥을 할 생각인데 일요일 오후에 저처럼 혼밥 하는 사람은 없겠죠?? 다 가족이나 연인 일까요???ㅠㅠ 쫌 뻘쭘할 것 같아서요ㅠㅠ","서울특별시 홍대입구 ",10,2024-10-17,NULL,NULL,NULL
476721281,"질문서울역은 출구가 몆개인가요",,"서울특별시 ",14,2024-10-17,4767212812,"선 10군데4호선 5군데경의중앙선 1군데공항철도 1군데기차 3군데",2024-10-17
476721281,"질문서울역은 출구가 몆개인가요",,"서울특별시 ",14,2024-10-17,4767212811,곳,2024-10-17
476721242,질문신비아파트...,"신비아파트 굿즈 어디서 팔아요? (사진 있음)","서울특별시 ",11,2024-10-17,NULL,NULL,NULL
476721152,"질문한강의 발원지는 어딘가요?...","한강의 발원지는 어딘가요? 궁금해서요.","서울특별시 용산구 한강로 ",15,2024-10-17,4767211522,"도 태백 검룡소입니다.",2024-10-17
476721152,"질문한강의 발원지는 어딘가요?...","한강의 발원지는 어딘가요? 궁금해서요.","서울특별시 용산구 한강로 ",15,2024-10-17,4767211521,"의 발원지는 검룡소입니다.",2024-10-17
476721148,"질문서초 삼성타운 B동도 삼성 소유인가요?",,"서울특별시 강남역 ",15,2024-10-17,NULL,NULL,NULL
476719635,"질문출근 가까운곳vs먼곳","30분 내외 거리 출퇴근 - 350받기 2시간 내외 거리 출퇴근 - 470 받기 어느 곳 다니냐 둘다 11시간정도 근무","서울특별시 ",11,2024-10-17,4767196351,"건 먼곳 470",2024-10-17
476719561,"질문킹키부츠 밤공 끝나는 시간","끝나고 버스타서 경부고속으로 가야하는데 11시 버스 탈 수 있을까요?","서울특별시 용산구 ",10,2024-10-17,4767195611,"시간 이 19시 시작해서  2시간 35분 정도 되는거 같은데여유 있게 갈수 있음블르스퀘어 6호선 한강진역  ~~  고속터미널역 까지 19분",2024-10-17
476716189,"질문서울 재개발 내 상가주택 분양권 문의","서울 재개발 지역내 3층 상가주택입니다. 재개발시 어떤 분양권을 받을 수 있을지 궁금합니다. 토지면적 128 주택근린생활시설 연면적 161 1층   근린생활시설(소매점) 65 2층   주택(2가구) 54 3층   주택(1가구) 42 옥탑  (연면적제외) 5 1. 아파트1 2. 아파트1 상가1 3. 아파트1+1 1은 최소 가능한 것으로 보이고 2 3번이 가능한지 궁금합니다.","서울특별시 ",13,2024-10-17,NULL,NULL,NULL
476715181,질문도와주세요,"금요일날 현체를 가는데 현체 끝나고 제 친구들이랑 만나기로 했는데 제 3명의 친구중 저는 홍대 다른 친구는 어린이 대공원 또 한명은 건국대에 있어서 중간에서 만나기로 했는데 어디서 만나야 할지 모르겠네요 아시는분 도와주세요","서울특별시 ",20,2024-10-17,4767151811,"로입구역 명동이 가장 좋은곳을지로 입구역8번 출구 바로앞 롯데백화점 연결통로스타 애비뉴 (연예인 bts 사진 손도장 등 포토존으로 유명 ) 롯데앞명동지하상가로 차 길 건너면 명동 을지로 초입명동 세계 길거리 음식 탕후루 등 (길거리 음식은 16시 이후에 많이 나옴)명동성당 옆골목이 맛집(명동교자등 ) 노래방 보세옷 등 놀 거리가 많은 곳명동역 쪽으로 나옴 명동역 지하상가 안 굿즈샵 1번 출구 12층짜리 다이소3번 출구 퍼시픽호텔 갈림길 좌측 재미로 끝까지 올라가면 남산돈까스 거리 (소월로)명동역 4번 출구 직진 신세계 사거리 좌측 애니메이션 센터 1층 애니까페 2층 놀이방애니센터에서 터널 방향으로 조금 올라가면 오르미라는 에스컬레이터 장치 무료남산타워 케이블카타는곳 까지 올라감명동은 물가가 비쌈 저렴한분식류등촌샤브샤브 칼국수 1명동교자 칼국수 1신세계떡복이두끼 떡복이 학생 1이베달라붙는떡복이 1",2024-10-17
476714666,"질문예비고3 부산에서 서울로 올라가서 공부","안녕하세요 부산에 살고 있는 고2 여학생입니다 제가 지금 다니는 학교에서 친구들이랑도 엄청 크게 싸워서 친구도 없는 것 같이 느껴지고 수시도 6점대여서 엄청 망했는데 좋은 대학을 가고 싶어합니다. 그래서 원래 제 계획은 자퇴를 하고 1년 혼자 학원을 다니면서 공부만 하려고 했습니다. 근데 요즘 드는 생각이 경기도에 이모네가 사는데 거기로 차라리 전학을 가서 거기서 살면서 공부할까라는 생각도 듭니다. 솔직히 경기도가 부산 저희 동네보단 훨씬 학구열도 높을 것 같고 솔직히 제가 이 동네에 너무 있기가 싫기도 해요… 자퇴를 한다고 해서 친구들을 안 마주치는 것도 아니고… 그런데 솔직히 이모네 가면 엄청 눈치도 보일테구… 정말 고민이 많아요ㅠ 해결책이 있을까요??ㅠㅠ 도와주세요ㅠㅠㅠ","서울특별시 ",15,2024-10-17,4767146661," 자퇴 후 이것도 저것도 안될 경우를 생각해야 되므로경기도로 전학 가는 걸 추천눈치가 보여도 잠깐이지 최소한 고졸 학벌은 만들어 놔야 함",2024-10-17
476714600,"질문예술의전당 지하 인춘아트홀 대관료...","예술의전당 지하 인춘아트홀 대관료는 얼마인가영?? 홈페이지에 없어서요!","서울특별시 서초구 서초동 ",11,2024-10-17,NULL,NULL,NULL
476714577,"질문가산디지털단지역 포장마차 운영","가산디지털단지역 주변에 포장마차가 있다고하던데 아직운영하나요~? 위치는 어디쯤일까요???","서울특별시 금천구 가산동 ",13,2024-10-17,4767145771,"디지털단지역 주변에는 포장마차가 운영되고 있는 곳이 있습니다. 주로 **가산디지털단지**의 번화가나 인근 골목에서 찾아볼 수 있습니다. 특히 **가산디지털단지 1번 출구** 근처나 **가산역 근처 골목**에서 포장마차가 있는 경우가 많습니다.운영 여부는 계절이나 시간대에 따라 달라질 수 있으므로 가기 전에 확인하는 것이 좋습니다. 최신 정보는 지역 주민의 후기를 참고하거나 직접 방문해 보는 것이 가장 확실합니다!답변이 되셨다면 채택부탁드립니다.",2024-10-17
476714282,"질문내신만 보면 염광이 나아요 월계가 나아요?","공부 못하는 중 3인데 솔직히 거기서 거기겠지만 그나마 분위기 좋고 내신 잘 딸수있는데는 어디예요?","서울특별시 노원구 ",13,2024-10-17,NULL,NULL,NULL
476713511,"질문노원구 염광고 월계고 어디갈까요","진짜 너무 고민되는데요ㅠㅠ 염광이 월계보다 내신수준이 더 어렵나요? 중 3인데 염광보다 월계가 더 대학 잘보낸다그러고 제가 중 3인데 공부를 못해서 고민되요 ㅠ 염광이 월계보다 더 나은줄 알았는데 아닌가요? 공부 못해서 내신따려고 고등학교가면 염광이 나아요 ?월계가 나아요?","서울특별시 노원구 ",13,2024-10-17,4767135111,"고등학교가 염광고등학교보다 명성과 대학 진학률이 높습니다. 내신 수준은 염광이 더 높지만 공부가 어렵다는 것은 아닙니다. 대학 진학을 목표로 한다면 월계를 권하지만 내신을 따르기 위해서는 염광이 더 나은 선택입니다.",2024-10-17
476704145,"질문서울에서 규모가 큰 찜질방 추천","서울에서 규모가 큰 드래곤 힐스파 같은 곳 추천해주세요 (서울보다 규모가 큰 곳이 있다면 그곳 추천해 주세요)","서울특별시 ",15,2024-10-17,4767041451,"닝시티 스파렉스",2024-10-17
